,ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
11142,11142,churned,37,37,44.37057401,1550,223,18,11310.45314,1505.875696,21,17,iPhone
5512,5512,retained,47,38,258.7210804,2710,192,59,4496.6021,3310.875404,12,12,Android
12125,12125,retained,135,109,271.4541588,2329,0,0,2067.5773,1569.784516,9,7,iPhone
8610,8610,churned,103,82,190.0606652,853,222,70,4559.984956,2185.63884,15,12,iPhone
8904,8904,retained,37,30,80.99426761,1248,109,7,3810.263818,1011.615846,1,1,Android
2837,2837,retained,4,4,340.7124819,2188,0,108,2342.498492,530.7448242,30,22,iPhone
7458,7458,churned,136,111,183.4121415,1407,288,54,2066.786347,1076.591796,3,0,iPhone
7596,7596,retained,72,59,200.9201533,621,106,0,4503.9465,2404.233465,15,9,Android
3218,3218,retained,27,22,343.0582665,869,34,32,4102.499109,1140.003211,21,20,Android
3573,3573,retained,26,26,47.82385359,3387,40,173,11104.01207,8580.490381,10,9,iPhone
3132,3132,retained,97,97,102.847378,187,0,52,3514.549005,2461.887261,0,0,iPhone
14886,14886,retained,28,22,113.3615688,1416,263,0,2282.8958,880.6424334,3,3,Android
3520,3520,retained,134,109,225.6437601,2912,314,7,4856.422933,3525.738152,26,21,iPhone
13463,13463,retained,42,41,379.3305835,553,144,58,2894.495262,1268.151673,21,17,iPhone
2588,2588,retained,12,12,29.43930639,1499,40,52,3549.277409,1725.857974,17,17,Android
7944,7944,retained,176,176,273.3889876,1836,18,0,4718.735419,3188.374142,25,18,iPhone
4874,4874,retained,87,71,177.6612458,1328,231,58,4086.492729,2319.978941,27,26,Android
3353,3353,retained,51,43,208.0374244,2182,18,0,2051.052171,225.1590112,7,1,iPhone
4308,4308,retained,59,59,174.9060863,3372,164,97,5077.417047,4022.58987,21,13,Android
1758,1758,retained,74,60,207.261814,2804,139,101,5841.777588,359.2182779,2,0,Android
11611,11611,retained,4,3,153.0508051,1615,25,12,1805.676655,438.0457691,0,0,iPhone
11510,11510,retained,127,119,191.9742772,777,38,0,1992.607118,829.497862,15,7,iPhone
852,852,churned,21,18,115.9581057,2248,127,35,4781.144761,1070.197672,6,1,Android
1494,1494,churned,271,219,294.0336382,2912,38,0,6270.639529,4259.091104,14,14,iPhone
8784,8784,retained,11,9,219.4484826,928,76,26,605.1112719,147.2725602,14,9,iPhone
2464,2464,retained,71,57,123.7234574,326,0,43,3494.097116,1884.115837,15,15,iPhone
9295,9295,churned,34,28,93.42687434,2303,44,0,1666.76398,216.6964142,7,2,iPhone
9553,9553,retained,62,50,300.0131384,3076,5,38,8033.048024,1473.144015,1,0,Android
7298,7298,churned,112,90,157.0437866,911,44,67,9920.605748,3359.712004,1,0,Android
7229,7229,retained,69,57,88.05006009,2276,0,21,5642.789231,2446.262964,28,18,Android
6428,6428,retained,115,92,119.0760125,2819,36,1,2957.557214,2021.194702,21,15,Android
8863,8863,retained,114,114,166.3983141,2590,435,54,6167.131782,2169.214471,24,19,iPhone
4562,4562,churned,207,167,449.6118134,228,211,105,10217.35959,6445.407215,11,8,Android
11667,11667,retained,37,37,111.2964787,2516,4,31,6262.779739,1873.050207,22,22,iPhone
9926,9926,retained,30,27,72.79539445,829,129,23,3649.789272,2800.075018,16,8,iPhone
500,500,retained,57,46,86.29981361,1331,0,110,1990.407753,1294.223987,20,13,iPhone
10376,10376,retained,139,112,156.5594842,1320,44,0,2499.05815,1843.598325,13,8,iPhone
11701,11701,retained,2,2,12.51168085,3210,0,129,7477.066221,4909.448856,12,6,iPhone
9128,9128,churned,48,48,140.174608,1205,325,33,4865.70522,3950.71682,15,15,iPhone
1046,1046,churned,57,46,62.81180978,1255,170,0,2640.447327,1712.889821,8,8,Android
8600,8600,retained,66,55,89.56845656,2953,0,20,4269.404848,1247.580429,9,7,Android
2633,2633,retained,65,53,107.1889262,2004,256,0,281.2265726,225.2704138,15,11,iPhone
10349,10349,,34,29,266.2378844,2577,15,0,8121.853233,1845.381693,28,26,iPhone
6029,6029,retained,21,17,188.290219,447,389,80,7813.960053,1137.922595,20,20,iPhone
13181,13181,retained,35,28,293.3740656,2276,109,10,6760.300679,1596.769769,18,18,iPhone
9502,9502,retained,95,77,165.6383448,1561,161,30,3204.534629,2172.101709,3,3,Android
11398,11398,retained,91,74,219.5994026,127,0,18,3412.47068,2734.167402,31,27,Android
7348,7348,,63,54,124.8633353,1599,0,27,1998.999178,1109.446612,11,4,iPhone
12004,12004,churned,46,37,74.12750741,2973,49,42,3449.401558,1186.360386,9,6,iPhone
11136,11136,churned,52,51,405.5216099,1909,10,157,3277.766014,1831.451213,5,0,iPhone
777,777,churned,274,219,388.1033302,727,261,12,10922.78471,6014.325008,4,2,Android
7930,7930,retained,23,23,65.89425728,2737,19,27,159.4440546,115.0581756,1,0,iPhone
4501,4501,retained,58,51,83.35721238,3447,1,0,1904.947511,1440.537814,19,12,Android
7696,7696,retained,14,14,95.99916762,1170,210,0,2027.472634,1565.675336,17,15,iPhone
4019,4019,retained,32,32,104.5909666,1191,262,40,4364.900818,2211.028353,10,10,iPhone
1194,1194,churned,6,5,108.4792365,1196,289,0,2614.559157,1692.40431,8,8,Android
10928,10928,retained,60,48,348.2028399,1724,339,53,4514.773977,934.5692717,20,12,iPhone
51,51,retained,67,57,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,Android
6351,6351,retained,36,28,105.8459005,2156,0,6,5952.694483,4186.130229,19,16,Android
2304,2304,retained,60,49,396.3435317,370,351,0,2620.885145,677.6205542,27,18,iPhone
7632,7632,retained,22,18,90.63589608,3272,134,0,8997.488587,3065.126139,26,19,iPhone
7007,7007,retained,145,116,168.589322,102,384,42,4704.837354,2750.066543,14,13,Android
5537,5537,retained,244,231,466.0468045,32,249,71,2921.477056,651.5296075,30,27,Android
1113,1113,retained,328,263,456.8128437,2337,34,0,1753.89979,1426.74742,3,3,iPhone
2982,2982,,45,36,182.4767346,2166,25,69,3492.35914,2242.188776,24,14,Android
656,656,retained,90,74,131.709174,871,175,55,2577.895773,2071.810883,30,25,Android
3254,3254,retained,17,17,51.91364207,421,30,0,1258.867637,157.4367943,8,8,iPhone
5385,5385,retained,25,20,209.1464812,1786,24,11,1707.2197,1158.468118,12,12,Android
1187,1187,retained,128,103,568.1381024,2655,55,66,3831.755574,1394.308494,23,22,iPhone
14900,14900,,140,116,232.2755713,2502,6,0,2784.905448,1430.035887,10,4,iPhone
11200,11200,retained,417,334,459.6094583,2091,358,3,2602.131437,1113.172408,10,7,Android
6392,6392,retained,113,100,471.9386438,818,49,0,5531.728689,1710.060785,17,17,iPhone
565,565,churned,184,148,186.7490336,676,40,0,5943.746764,4305.735198,24,18,iPhone
4118,4118,,180,145,210.7320726,1712,495,185,502.5621807,188.2759051,3,3,iPhone
9121,9121,churned,73,59,633.5756565,747,288,0,3999.325482,1837.46772,19,12,iPhone
840,840,retained,341,279,670.4983414,2929,334,0,2285.475353,320.5742712,24,18,Android
3888,3888,retained,19,15,489.1706781,91,0,87,3668.799859,810.1109372,30,28,iPhone
1642,1642,retained,19,15,53.18993702,1245,13,15,1852.775947,1391.166478,26,19,iPhone
12751,12751,churned,24,20,111.3893878,1436,0,0,3414.50241,1911.496806,16,10,Android
12690,12690,churned,28,23,40.75466513,1560,0,0,849.0943623,380.575519,11,11,Android
8478,8478,retained,19,19,131.0962576,2647,138,0,1735.864833,605.1721021,19,19,iPhone
2666,2666,retained,62,50,154.5411267,3484,83,34,3598.339407,2792.774125,28,22,Android
1972,1972,retained,263,210,559.6332385,1437,69,0,6909.159779,4583.076699,9,9,iPhone
14680,14680,retained,3,3,25.91596346,3171,607,17,3762.336739,1879.262918,13,8,iPhone
13198,13198,retained,80,78,178.7575151,64,33,0,1665.821057,659.5445089,29,28,iPhone
1149,1149,retained,58,46,164.7941644,271,195,36,2336.114839,1026.118841,14,14,Android
4092,4092,retained,89,72,354.8013675,714,92,36,2140.345325,1352.226303,29,23,iPhone
10324,10324,churned,38,31,105.0359922,99,142,8,1604.942724,1011.942252,29,27,iPhone
765,765,retained,24,20,25.12584062,269,102,3,1586.479586,926.5649354,1,1,iPhone
7051,7051,retained,0,0,81.62169462,725,211,0,3449.669968,2706.546928,9,8,iPhone
7562,7562,retained,93,74,218.6099957,520,340,42,6508.00829,157.3483382,3,0,Android
10659,10659,retained,39,32,247.538679,970,0,49,1176.011377,544.4139911,18,12,Android
3872,3872,retained,18,16,183.3004371,466,0,0,1373.165892,187.2730257,6,6,Android
5605,5605,retained,234,198,402.5488359,2632,0,65,2779.362559,1274.829497,20,16,Android
10779,10779,retained,246,197,311.5606978,2844,164,0,912.713124,722.3830933,2,2,iPhone
2620,2620,retained,17,14,112.9424852,1322,282,19,5434.001096,1016.758409,23,17,iPhone
9396,9396,retained,111,90,193.776803,588,0,0,6060.952234,763.567958,19,19,Android
3026,3026,retained,29,26,47.09847105,589,36,0,818.9060734,670.5863829,11,11,iPhone
4730,4730,retained,101,82,353.0431932,1358,140,16,2451.780674,1532.524531,7,7,Android
4102,4102,retained,50,42,78.40283171,2427,29,37,2664.486557,2132.514707,10,6,iPhone
7738,7738,churned,91,75,109.1261996,3340,5,103,5621.770685,351.7569882,2,0,iPhone
13646,13646,retained,33,33,68.7838092,2586,0,0,6875.186694,2916.730152,4,4,iPhone
7224,7224,churned,14,13,255.427703,847,34,9,3560.417571,2850.94256,3,0,Android
5688,5688,retained,15,12,104.7172234,2947,49,37,4788.388852,1144.460754,23,23,iPhone
13525,13525,churned,98,79,281.4095279,1834,37,41,3138.520496,2557.255964,10,6,Android
14005,14005,retained,6,6,338.1522071,3473,14,0,4960.548756,3422.731307,14,13,iPhone
2685,2685,churned,26,23,114.3096816,459,261,0,2272.197652,940.9147966,7,6,iPhone
9383,9383,retained,21,21,70.54859028,983,176,37,3947.577953,2288.386604,8,8,iPhone
10687,10687,churned,141,113,180.6665426,798,401,0,6294.253521,1365.114152,30,20,iPhone
13897,13897,retained,27,22,107.9094127,1922,20,0,3519.201055,1374.679536,14,6,iPhone
911,911,churned,63,51,258.600209,1576,181,10,2862.974298,2150.987246,7,6,iPhone
8131,8131,retained,166,135,273.9385991,709,0,30,4081.598443,1862.392014,17,17,Android
12731,12731,retained,233,187,257.8778175,500,70,13,2273.541288,1226.904137,30,26,Android
7075,7075,retained,8,8,344.5214044,2721,547,0,4411.903612,2441.565732,14,14,Android
1345,1345,retained,29,23,261.9978903,327,499,44,2834.337821,627.4801328,29,19,iPhone
1444,1444,retained,17,14,77.15209391,2797,98,53,2283.15427,372.7913309,24,24,iPhone
6196,6196,retained,1,1,38.42088937,3405,26,99,2775.83633,2139.317198,3,2,Android
3499,3499,retained,1,1,26.96701335,2281,65,51,2120.374135,1573.369096,15,15,iPhone
6790,6790,retained,171,137,540.3180652,1938,384,10,4966.83823,2837.883948,9,6,Android
7309,7309,retained,29,29,161.3411929,1322,78,40,1762.323994,1315.388813,5,5,Android
12532,12532,retained,10,10,384.3455144,3002,100,34,4001.45206,778.6576341,10,10,iPhone
2422,2422,retained,68,55,212.4704341,164,229,0,5441.105904,4363.253527,25,19,iPhone
7635,7635,churned,16,16,125.5852979,118,118,20,3321.380951,2756.351303,15,9,iPhone
2732,2732,retained,63,53,63.83251062,3338,137,50,926.345353,368.7366715,3,0,iPhone
80,80,,116,93,436.0601833,1584,283,62,4183.409514,3121.889952,18,15,iPhone
4217,4217,retained,27,27,247.1897,3315,0,201,2072.099482,812.636797,28,20,iPhone
13388,13388,retained,71,57,302.7050405,2574,345,0,8562.926675,6228.32458,4,0,Android
10463,10463,retained,20,16,121.1442463,1976,299,0,4859.382743,1496.414322,13,5,iPhone
5331,5331,retained,32,32,127.1711286,3460,12,58,2455.590255,575.261503,10,10,iPhone
7499,7499,retained,30,30,206.8243209,2239,11,12,3918.755454,2181.774542,26,25,Android
11796,11796,retained,187,149,213.774151,449,110,0,3242.965751,2426.739573,31,24,Android
12602,12602,churned,48,48,126.1615664,1196,0,98,8610.947861,777.2506534,7,7,Android
4889,4889,retained,141,113,189.8907739,677,62,45,3852.201784,618.5715913,28,23,iPhone
1572,1572,retained,175,141,176.9807599,2661,147,0,4067.004259,657.3099523,16,14,iPhone
13375,13375,retained,20,18,35.9441958,1681,33,27,2658.767441,881.1558113,12,12,iPhone
879,879,churned,116,92,131.2432707,2112,110,28,2259.665256,865.4403832,14,14,Android
1578,1578,retained,60,48,183.218385,798,20,0,2005.611465,867.472355,22,20,iPhone
8765,8765,retained,53,45,396.3480469,2112,26,0,2580.72586,1817.789407,29,27,iPhone
1509,1509,retained,12,10,104.4422792,2816,272,0,7816.574932,2037.635201,24,19,iPhone
1896,1896,retained,82,66,96.23470825,1440,28,5,753.1694304,563.7406774,21,18,iPhone
4520,4520,retained,14,14,163.0980948,2258,161,0,2094.120028,973.0711917,7,7,iPhone
4112,4112,retained,106,85,184.6114588,2120,0,175,3713.975468,1695.280555,8,4,iPhone
11675,11675,retained,41,33,163.1961502,846,61,0,3368.134118,486.6693783,12,7,iPhone
1845,1845,retained,22,17,63.01992264,755,38,75,2205.714203,853.58761,18,13,iPhone
4914,4914,retained,134,108,144.2960514,2885,531,0,5308.676968,4373.183713,7,6,iPhone
14738,14738,retained,302,242,320.3535898,257,27,4,3094.606526,2183.333106,30,27,iPhone
9281,9281,retained,119,96,421.478247,1102,20,0,1886.393717,1558.963844,14,8,iPhone
9500,9500,churned,25,25,89.89079452,2435,0,0,701.6320754,578.176015,11,11,iPhone
6311,6311,retained,28,25,37.00282067,3369,13,140,2734.10655,1234.795836,15,13,Android
7496,7496,retained,145,117,230.4726733,3384,261,143,2933.210766,2415.496391,2,0,iPhone
13895,13895,retained,54,43,152.4032734,2200,313,0,1516.189684,728.148825,12,8,iPhone
13132,13132,retained,32,32,43.42610774,767,59,7,2186.095984,923.6584052,12,7,iPhone
9526,9526,churned,143,125,602.897677,1306,0,0,3089.415947,1800.84226,23,15,iPhone
14114,14114,retained,14,11,197.0892806,2012,90,37,1110.959061,459.8872262,25,17,iPhone
5403,5403,retained,4,4,22.29315881,3449,58,0,14442.3144,3507.245564,19,15,iPhone
5821,5821,retained,16,13,148.1776798,1929,227,97,1315.390192,687.6002226,11,11,iPhone
3614,3614,retained,91,77,255.8358894,130,431,0,6252.050031,3109.082605,13,12,iPhone
2108,2108,retained,65,53,122.5502339,3133,147,7,2365.195412,1080.484347,23,17,Android
13496,13496,churned,4,4,77.78388831,3259,367,39,967.8375221,452.3290414,21,20,Android
9440,9440,retained,72,66,263.3775028,1707,0,0,3187.972088,967.3063744,3,0,iPhone
14946,14946,retained,326,261,745.4430278,1743,42,49,5129.332913,2034.523337,14,7,iPhone
12267,12267,churned,38,30,126.285941,1609,462,166,2652.892243,1115.116353,27,26,iPhone
12904,12904,churned,18,14,28.04737977,554,6,0,1897.131559,1415.478848,29,23,iPhone
7756,7756,retained,20,17,72.12342832,2774,0,18,4819.242924,929.3002076,10,10,iPhone
5306,5306,retained,84,67,168.2114975,1056,189,26,2157.409211,566.9681341,26,17,iPhone
12519,12519,retained,4,4,197.9225077,2426,124,0,3783.864288,227.0762214,20,19,iPhone
13209,13209,retained,91,90,180.430168,286,40,45,3751.714594,1394.782508,25,21,iPhone
9230,9230,churned,3,3,221.1102143,1483,157,0,929.0231388,415.8989412,5,5,Android
6825,6825,retained,15,14,58.54106589,2225,13,35,5954.779485,4463.243141,23,20,Android
12850,12850,retained,11,11,303.8968872,431,0,0,2765.116793,336.8549973,19,19,iPhone
4325,4325,retained,17,17,28.09465357,3296,157,0,2854.285984,1465.470384,12,10,iPhone
3219,3219,churned,21,18,27.37639367,1268,27,32,2561.62784,1261.510917,12,5,Android
13670,13670,retained,264,211,354.8068389,841,43,38,3959.197226,1412.001647,29,21,iPhone
10318,10318,,182,158,200.3033075,387,0,29,3593.166768,1031.228848,23,17,Android
13835,13835,retained,76,74,78.97435723,1236,30,84,6843.2944,1886.577616,10,5,iPhone
1193,1193,churned,84,75,187.5767776,1319,306,0,7669.14588,4664.423476,3,3,Android
45,45,retained,25,25,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,iPhone
13815,13815,churned,56,45,675.9721056,2840,38,164,826.4041126,514.849399,0,0,iPhone
976,976,retained,189,151,231.8456631,491,493,65,8708.296194,6222.497683,27,27,iPhone
10522,10522,retained,27,21,105.2436222,1680,0,0,568.8245447,418.931769,7,7,iPhone
2963,2963,retained,116,93,138.1630309,2923,47,83,7511.473404,1650.570828,12,8,iPhone
1584,1584,retained,29,24,154.0891275,525,0,18,3992.406129,2199.241683,30,20,iPhone
11671,11671,churned,4,4,183.9216886,376,242,0,3849.415536,652.0533028,4,0,iPhone
4515,4515,retained,0,0,303.9005783,2639,0,6,1591.201772,1115.563874,13,13,Android
12798,12798,retained,118,102,182.7545459,1515,179,24,2521.833599,347.5548445,5,5,iPhone
9701,9701,churned,31,31,60.08901534,1578,15,0,3883.138603,2475.778213,12,10,iPhone
1975,1975,retained,133,109,289.5900302,2688,234,0,3594.397808,2942.015605,27,22,Android
3912,3912,retained,106,86,190.4669263,132,0,259,1786.12301,371.1571043,0,0,iPhone
9810,9810,churned,6,6,107.7343944,938,92,24,4830.643291,1870.221327,2,0,iPhone
6498,6498,retained,119,98,179.6658556,3492,146,110,6456.242297,1434.72945,23,18,iPhone
4411,4411,retained,4,4,61.30129854,370,261,10,3276.272453,2066.439798,0,0,iPhone
12862,12862,retained,6,6,178.7106459,838,156,56,4078.75022,1913.240512,28,25,iPhone
7460,7460,retained,166,142,180.5020063,2487,14,7,3846.169983,2025.927113,5,5,iPhone
12654,12654,retained,32,26,85.62043693,1788,493,11,2078.200919,1234.509261,9,9,iPhone
12217,12217,retained,38,34,225.6014516,2295,211,20,3436.2728,1563.472339,2,1,iPhone
11674,11674,retained,30,24,47.09253978,134,158,62,7181.934401,4183.023524,28,27,iPhone
4580,4580,churned,85,68,197.2771642,694,280,39,3316.844694,1093.526048,3,0,iPhone
2840,2840,retained,43,36,103.0061372,2046,0,75,4986.157587,2146.209608,16,16,Android
5465,5465,retained,277,229,361.4046965,291,0,0,4873.956634,3161.542305,15,15,iPhone
8289,8289,retained,100,80,463.2223872,236,31,0,3160.984509,383.778212,6,6,iPhone
12381,12381,retained,2,2,124.3054424,802,0,0,2813.451801,2021.436512,0,0,iPhone
6209,6209,retained,158,127,170.8536653,3238,242,99,3911.453353,946.192566,25,17,iPhone
13085,13085,retained,43,35,72.68307338,3279,78,0,2918.978717,1560.642602,18,13,iPhone
13156,13156,retained,10,10,255.563905,1875,82,0,6881.423708,5473.81695,4,0,iPhone
9619,9619,retained,68,55,68.35500647,3041,16,22,4091.857261,3051.875637,14,8,iPhone
12449,12449,retained,21,21,57.43649878,2808,0,1,1622.526652,432.96791,22,15,iPhone
6613,6613,retained,3,3,105.5044174,901,308,144,2218.658804,1075.688932,28,22,iPhone
12650,12650,retained,128,103,128.0289736,2832,0,42,3799.500244,2441.280494,5,5,iPhone
6119,6119,retained,134,134,162.6859744,1546,192,10,4872.915833,3801.450704,27,26,Android
37,37,retained,16,14,103.8941155,443,0,5,8786.114497,7181.044427,19,19,Android
576,576,retained,16,16,190.2859902,623,280,0,2914.218,1829.59476,22,19,iPhone
10333,10333,retained,215,172,359.0678357,2952,60,6,3400.435599,1231.337751,24,14,iPhone
3988,3988,retained,31,31,72.43312126,2419,407,8,1739.284363,747.9612371,22,19,iPhone
713,713,retained,194,192,257.9570808,1575,0,47,5081.5944,3633.369694,9,9,iPhone
14408,14408,retained,135,110,359.0768093,3476,0,0,5761.809716,710.7241353,31,26,Android
7964,7964,retained,387,316,490.9890452,1039,0,0,10750.21406,1951.089392,14,10,iPhone
8250,8250,retained,58,58,85.76735423,533,298,0,4677.839626,956.316147,11,10,iPhone
2335,2335,retained,21,17,104.2258476,678,335,0,5347.920784,1154.511667,14,13,iPhone
12604,12604,retained,37,32,194.8671155,102,0,221,640.9478599,151.3007197,24,17,iPhone
4420,4420,retained,10,10,95.33673272,2667,147,36,5233.923609,2299.903082,18,16,Android
7492,7492,retained,124,100,245.5324902,2867,33,0,2146.51424,1669.509713,22,21,iPhone
12596,12596,churned,223,184,386.5350661,3435,135,0,866.9760564,646.0730209,19,15,Android
881,881,retained,14,13,278.0490812,1179,199,38,2154.50319,702.9703674,25,23,iPhone
567,567,retained,118,96,142.9293685,2214,3,24,1317.993374,851.3727149,24,20,iPhone
9798,9798,retained,83,66,216.284605,777,549,0,4822.049729,3614.041224,28,25,iPhone
4981,4981,retained,238,196,337.8320127,314,394,38,4712.344942,3009.569503,8,8,iPhone
2245,2245,churned,343,275,544.6968276,2898,157,20,2591.797797,1417.412716,15,10,iPhone
12050,12050,retained,141,126,229.9967256,843,0,37,5201.136664,3187.052667,17,12,Android
4165,4165,churned,38,31,88.69221884,2427,0,17,5573.308224,1034.753977,12,7,iPhone
8093,8093,retained,122,98,158.8522192,3188,235,42,1541.624051,512.7630179,2,2,iPhone
10255,10255,retained,30,28,109.4305644,2803,79,46,5936.626394,2294.237362,25,22,iPhone
13442,13442,retained,149,131,317.4450558,153,30,0,1450.613771,994.3080589,28,25,iPhone
8654,8654,retained,72,68,97.56221541,133,92,93,1366.367176,547.6115516,18,13,Android
239,239,retained,120,101,547.6469834,3014,237,0,2474.647978,1107.658252,12,8,Android
12836,12836,retained,114,92,184.3949784,460,184,0,1329.178207,445.6940319,15,10,iPhone
12067,12067,churned,77,62,609.6290469,1969,0,32,2249.889304,1859.345281,3,0,Android
6660,6660,retained,15,15,45.15585146,3166,59,4,2451.593448,832.7610962,18,12,Android
1597,1597,retained,98,97,134.5437436,1957,344,0,2103.552143,891.046735,31,25,iPhone
9663,9663,retained,4,4,92.05906567,1715,0,117,3877.996194,2989.962623,14,14,Android
6053,6053,retained,10,9,149.0878818,298,0,11,3232.223441,1958.979275,21,12,iPhone
1901,1901,retained,2,1,167.746278,428,211,12,2147.45613,533.0049648,17,17,Android
1180,1180,retained,46,38,56.34517786,463,0,0,1537.956312,1095.598385,30,24,iPhone
10696,10696,retained,4,4,672.0363555,746,6,0,2110.105072,1634.837837,3,2,Android
9488,9488,retained,23,23,210.2934717,2611,348,25,3793.386514,2045.465025,28,19,iPhone
8978,8978,retained,44,37,50.57598005,1362,133,0,7744.451008,4097.268707,30,24,iPhone
3006,3006,churned,3,3,25.89414233,664,398,23,422.5795547,173.7705181,2,0,iPhone
9452,9452,churned,28,26,510.8605225,2696,0,79,4504.793183,1320.935917,9,9,Android
2781,2781,churned,44,37,131.2067964,1255,461,0,3590.276768,1530.804203,19,11,iPhone
12868,12868,retained,39,31,153.5632035,124,222,27,6818.495569,2162.290069,9,8,Android
12198,12198,retained,296,237,316.3626089,47,106,44,1779.239307,1090.711183,17,9,iPhone
13094,13094,retained,79,68,181.7529914,980,578,28,4426.759991,3614.938769,26,17,Android
11074,11074,retained,90,73,228.0959448,2051,0,90,3166.780345,882.6974183,14,14,Android
9225,9225,retained,96,83,244.2798896,1307,155,80,3614.459102,1331.820597,22,22,iPhone
8845,8845,retained,0,0,102.3933982,2937,205,14,2872.368409,1000.698731,8,8,Android
2829,2829,retained,101,81,213.2803365,1239,78,0,8603.640669,2794.478823,29,22,Android
6876,6876,churned,22,22,140.9045724,1506,205,62,5703.523952,4593.753254,15,7,Android
13475,13475,retained,29,29,104.4179247,650,196,0,3778.696502,1606.962868,24,23,Android
12755,12755,retained,205,169,251.0935093,1483,37,0,914.4034539,464.8586438,2,2,Android
8253,8253,retained,57,46,88.8658747,3030,65,30,4495.341933,2030.124615,17,17,iPhone
4219,4219,retained,51,41,74.96983628,3319,0,0,4428.667865,2225.676135,25,23,iPhone
7757,7757,retained,74,63,102.0852104,2080,2,60,846.969482,138.6558999,24,21,iPhone
13737,13737,retained,32,32,101.5041793,1862,39,28,8649.577126,2834.291256,17,15,iPhone
10553,10553,churned,10,10,52.95237051,163,138,0,1654.22173,604.2360036,16,10,Android
5843,5843,retained,152,122,409.6663783,740,107,15,13053.26828,6181.952205,26,18,Android
3413,3413,retained,14,14,41.095243,3455,0,0,2747.506291,838.5460478,6,6,iPhone
7001,7001,retained,51,42,161.5875286,605,0,93,1550.325721,1212.460078,11,5,iPhone
906,906,retained,27,23,238.3555457,528,0,26,5279.109987,4103.19042,17,17,iPhone
8214,8214,retained,4,4,407.5556824,2693,148,0,2927.8085,567.0654901,16,11,Android
3693,3693,retained,53,45,187.7113471,3297,593,152,7386.2898,4198.858317,29,27,Android
13924,13924,retained,5,5,18.20301682,2999,446,4,6538.677051,4859.198512,17,14,iPhone
3118,3118,retained,164,132,239.0821912,2824,26,66,1860.529767,705.7492566,9,8,iPhone
12546,12546,retained,25,22,48.75166629,441,0,0,1852.994225,1461.207818,26,17,iPhone
10564,10564,retained,8,7,401.9458238,1970,214,44,3611.822264,1488.803212,4,4,Android
6077,6077,churned,8,8,46.45329976,2428,163,0,7607.203448,4668.109758,4,2,Android
10887,10887,retained,21,18,72.57050368,395,197,0,3362.71929,616.7926751,20,14,iPhone
13166,13166,retained,23,19,67.5551412,3239,1,66,4078.369493,2117.530935,3,3,Android
8596,8596,retained,6,6,148.4952123,1119,296,7,1449.76723,249.1989893,27,26,iPhone
7015,7015,,229,222,317.6519603,222,24,35,5066.42899,1439.862141,18,12,Android
9304,9304,retained,37,30,63.91768166,3082,257,0,6354.738492,1773.72409,8,4,Android
295,295,retained,35,34,170.5726742,1010,22,152,1864.129806,1376.523617,30,28,iPhone
6253,6253,retained,219,179,300.7659813,992,464,15,6284.711966,4457.333767,28,18,iPhone
1785,1785,retained,26,26,378.2317958,2640,105,3,919.7443902,625.308626,11,6,iPhone
4382,4382,retained,141,118,217.7351307,2674,108,0,1836.478577,884.1703168,23,18,iPhone
6505,6505,retained,47,41,177.1227698,3019,259,3,448.856911,341.1329223,21,18,iPhone
13397,13397,retained,26,23,75.21891294,2409,242,66,2608.271064,2169.258029,4,4,iPhone
1284,1284,retained,218,175,285.8034911,2809,0,43,3508.090513,2584.51949,15,11,iPhone
7781,7781,retained,153,123,192.9654967,2738,0,0,1295.78481,445.2606586,15,11,iPhone
8959,8959,retained,91,91,141.595629,1997,0,31,3108.342259,685.0152088,23,15,Android
12671,12671,retained,72,59,106.7134988,423,24,7,2289.66774,889.5679752,4,0,iPhone
4454,4454,retained,29,23,36.47465696,3124,168,0,1815.850729,742.5609423,25,16,Android
14517,14517,retained,86,70,113.3913473,854,115,0,2269.673897,1604.784511,31,25,iPhone
549,549,retained,69,62,267.2699843,1500,38,52,967.3838714,682.28244,11,6,iPhone
12721,12721,retained,26,21,97.93278265,2746,284,0,8018.480267,4279.757621,2,2,iPhone
5340,5340,churned,9,8,38.68273709,1083,93,73,2190.426502,1482.151763,3,3,Android
3574,3574,retained,37,35,52.27816876,2084,15,44,1441.32408,726.1009151,8,6,Android
6292,6292,retained,48,48,241.0139284,2264,235,0,1422.993619,244.4016089,26,17,iPhone
4352,4352,retained,41,33,194.7460628,1561,186,18,1889.771011,65.42756099,15,8,Android
6829,6829,retained,132,106,279.2307395,2450,248,0,4351.126668,1386.273879,16,10,Android
2648,2648,churned,140,117,168.8545836,1478,0,127,3066.494959,1940.061032,19,15,Android
2586,2586,retained,33,27,38.61547589,1936,0,0,7179.647766,4652.000916,7,7,Android
5860,5860,retained,13,10,163.4795831,2215,61,0,6502.246248,185.0316703,13,5,iPhone
3160,3160,churned,59,49,124.6191207,886,311,78,3873.304008,1300.815608,8,8,Android
7150,7150,churned,126,102,173.6447009,1350,57,0,3555.724103,2546.716484,8,8,iPhone
3182,3182,retained,83,67,142.6958116,3359,216,51,2511.195456,1606.369313,21,18,iPhone
3480,3480,retained,61,49,148.6376708,228,18,9,11780.00917,5323.082374,14,9,iPhone
